16.4290905,80.57397461,ICICI BANK ATM,ICICI Bank Ltd. - 104, Plot No-GH-07/A, Gulshan Vivante, Sector-137, Noida,Gautam Budh nagar,Uttar Pradesh,201201,41,42,62,B4917,,,,,,,,,,,,,,
16.23954201,80.64612579,ICICI BANK ATM,ICICI Bank Ltd. - DNO: 7-31-1, opp Gangadevi Temple, Ganganammapet,Tenali,Andhra Pradesh,522201,41,42,62,A9794,,,,,,,,,,,,,,,,
16.23866081,80.65513611,ICICI BANK ATM,ICICI Bank Ltd. - D no:7-7-26, Gopala Reddy street, Ganganammapeta,Tenali,Andhra Pradesh,522101,41,42,62,B1093,,,,,,,,,,,,,,,,
15.62343502,77.27819061,ICICI BANK ATM,ICICI Bank Ltd. - 21/173/A, Besides Saibaba Temple, Main Road, Adoni,Kurnool,Andhra Pradesh,518301,41,42,62,A2326,,,,,,,,,,,,,,,
15.61905956,77.28694153,ICICI BANK ATM,ICICI Bank Ltd. - RTC Bus Stand Road, Adoni, Kurnool,Kurnool,Andhra Pradesh,518301,41,42,62,A2884,,,,,,,,,,,,,,,,
15.63137817,77.27529907,ICICI BANK ATM,ICICI Bank Ltd. - Shop No. 2, College Road, Adoni,Kurnool,Andhra Pradesh,518301,41,42,62,A2985,,,,,,,,,,,,,,,,
13.75129128,79.70201874,ICICI BANK ATM,ICICI Bank Ltd. - D No-3-1065, 3-1065/1, Nagari Street, Srikalahasti,Chittoor,Andhra Pradesh,517644,41,42,62,B4801,,,,,,,,,,,,,,,
15.50619984,80.03800201,ICICI BANK ATM,ICICI Bank Ltd. - D.No. 37-1-169/20, Balaji Sunil & V. Pallavi,Prakasam,Andhra Pradesh,523001,41,42,62,A5168,,,,,,,,,,,,,,,,,
15.50977325,80.04606628,ICICI BANK ATM,ICICI Bank Ltd. - 5-35/1, kurnool road, Ongole,Prakasam,Andhra Pradesh,523002,41,42,62,A5197,,,,,,,,,,,,,,,,
15.50977325,80.04606628,ICICI BANK ATM,ICICI Bank Ltd. - 5-35/1, kurnool road, Ongole,Prakasam,Andhra Pradesh,523002,41,42,62,A5197,,,,,,,,,,,,,,,,
16.86860847,81.92784119,ICICI BANK ATM,ICICI Bank Ltd. - D. No. 32-01-19, Ground Floor, Main Road, Mandapeta,East Godavari,Andhra Pradesh,533308,41,42,62,B5113,,,,,,,,,,,,,,,
13.55471325,78.50779724,ICICI BANK ATM,ICICI Bank Ltd. - 14-2-5-1, CTM Road, Madanapalli,Chittoor,Andhra Pradesh,517325,41,42,62,A2266,,,,,,,,,,,,,,,,
13.56025124,78.49885559,ICICI BANK ATM,ICICI Bank Ltd. - 4-2 C2 Kadiri road, Beside K K Complex,Chittoor,Andhra Pradesh,517325,41,42,62,A8673,,,,,,,,,,,,,,,,,
13.55465698,78.50776672,ICICI BANK ATM,ICICI Bank Ltd. - CTM Road, 15-1-28/A, Near bapuji Park,Chittoor,Andhra Pradesh,517325,41,42,62,A8688,,,,,,,,,,,,,,,,
16.9324894,81.95585632,ICICI BANK ATM,ICICI Bank Ltd. - 1-5-43, Karri Suri Reddy Complex, Canal Road, Anaparthi,Eastgodavari,Andhra Pradesh,533342,41,42,62,A3136,,,,,,,,,,,,,,,
15.21136761,79.90107727,ICICI BANK ATM,ICICI Bank Ltd. - D.No.16-1-37, Pamur Road, Kandukur,Kandukur,Andhra Pradesh,523105,41,42,62,A0442,,,,,,,,,,,,,,,,
14.41352367,77.71988678,ICICI BANK ATM,ICICI Bank Ltd. - G V Shopping Complex, R S Road, Dharmavaram,Anantapur,Andhra Pradesh,515671,41,42,62,A2607,,,,,,,,,,,,,,,,
14.49989414,79.98548126,ICICI BANK ATM,ICICI Bank Ltd. - Guru Electronics, Plot No-33/K, Shop No-2, Baiganwadi, Shivaji Nagar,Mumbai,Maharashtra,400043,41,42,61,B4926,,,,,,,,,,,,,,
14.74476337,78.56143188,ICICI BANK ATM,ICICI Bank Ltd. - Apsrtc BUS Stand, Proddatur,Hyderabad,Andhra Pradesh,516361,41,42,62,A8587,,,,,,,,,,,,,,,,,
14.75032616,78.54769135,ICICI BANK ATM,ICICI Bank Ltd. - House No-20/24, Gandhi Road, Proddatur, Cuddapa,Proddatur,Andhra Pradesh,516360,41,42,62,B2057,,,,,,,,,,,,,,,
14.75321484,78.55514526,ICICI BANK ATM,ICICI Bank Ltd. - No. 7 / 3106 - 3107, Hotel Dwaraka, Opp. Old Bus Stand, IOC Petrol Bunk Beside, Proddatur,Proddatur,Andhra Pradesh,516360,41,42,62,B2818,,,,,,,,,,,,,,
16.57925987,82.01288605,ICICI BANK ATM,ICICI Bank Ltd. - Rmag, Shop No 47 & 51 To 55, C Block, Sree Potti Sreeramalu Shopping Complex, Amalapuram,Eastgodavari,Andhra Pradesh,515001,41,42,62,A1763,,,,,,,,,,,,,,
16.57999992,81.99780273,ICICI BANK ATM,ICICI Bank Ltd. - East Godavari - Amalapuram APSRTC ATM.,Rajahmundry,Andhra Pradesh,533201,41,42,62,A4567,,,,,,,,,,,,,,,,,,
16.5798378,81.99777222,ICICI BANK ATM,ICICI Bank Ltd. - Door No-7-2-4, Opp Bus Stop, Mummdivaram Gate, Amalapuram,East Godawari,Andhra Pradesh,533201,41,42,62,B5127,,,,,,,,,,,,,,,
13.21860218,79.10113525,ICICI BANK ATM,ICICI Bank Ltd. - 18-146, High Road,Chittoor,Andhra Pradesh,517001,41,42,62,A3124,,,,,,,,,,,,,,,,,
13.21549988,79.11203003,ICICI BANK ATM,ICICI Bank Ltd. - Kongareddy Palle, Opposite Reids Pet Church,Chittoor,Andhra Pradesh,517401,41,42,62,A3882,,,,,,,,,,,,,,,,,
13.21843433,79.09477234,ICICI BANK ATM,ICICI Bank Ltd. - Door No: 3-529, Ambika Guest House, Bazaar Street, Srikalahasti, Chittoor,Srikalahasti,Andhra Pradesh,517644,41,42,62,A4289,,,,,,,,,,,,,,
13.21718979,79.09455872,ICICI BANK ATM,ICICI Bank Ltd. - D-No:1-364, Chruch Street,Chittoor,Andhra Pradesh,517001,41,42,62,A9402,,,,,,,,,,,,,,,,,
14.91969967,79.99359894,ICICI BANK ATM,ICICI Bank Ltd. - G N T Road, 8/1/14-Avs, Kalyanamandapam,Kavali,Andhra Pradesh,524201,41,42,62,A2319,,,,,,,,,,,,,,,,
14.91436958,79.99311066,ICICI BANK ATM,ICICI Bank Ltd. - HPCL Outlet, Mvs & Company, NH-5, GNT Road,Kavali,Andhra Pradesh,524201,41,42,62,A3034,,,,,,,,,,,,,,,
16.75637054,81.68115234,ICICI BANK ATM,ICICI Bank Ltd. - No:4-318, Lakshmi Towers, Sriramulu Tadipatri,Hyderabad,Andhra Pradesh,534211,41,42,62,A3997,,,,,,,,,,,,,,,,
14.45748901,79.99212646,ICICI BANK ATM,ICICI Bank Ltd. - D-31-C, Stone Housepet, Nellore 2,Nellore,Andhra Pradesh,524002,41,42,62,A0400,,,,,,,,,,,,,,,,
14.45682621,79.97796631,ICICI BANK ATM,ICICI Bank Ltd. - D-No: 12-63,  Narayana Rao Pet, Near Gupta Park,Nellore,Andhra Pradesh,524001,41,42,62,A9493,,,,,,,,,,,,,,,,
15.48438931,78.48342133,ICICI BANK ATM,ICICI Bank Ltd. - 25/142, Sanjeevan Nagar,Nandyal,Andhra Pradesh,518501,41,42,62,A2509,,,,,,,,,,,,,,,,,
15.48999977,78.48000336,ICICI BANK ATM,ICICI Bank Ltd. - Padmavathi Nagar Main Road,Nandyal,Andhra Pradesh,518002,41,42,62,A5738,,,,,,,,,,,,,,,,,,
14.46637917,78.82613373,ICICI BANK ATM,ICICI Bank Ltd. - Christain Lane, 7 Road Area,Cuddapah,Andhra Pradesh,516001,41,42,62,A2519,,,,,,,,,,,,,,,,,
14.46637917,78.82613373,ICICI BANK ATM,ICICI Bank Ltd. - Christain Lane, 7 Road Area,Cuddapah,Andhra Pradesh,516001,41,42,62,A2519,,,,,,,,,,,,,,,,,
14.46440029,78.83110046,ICICI BANK ATM,ICICI Bank Ltd. - New Bus station, APSRTC,Kadapa,Andhra Pradesh,516001,41,42,62,A4573,,,,,,,,,,,,,,,,,
14.46469975,78.83110046,ICICI BANK ATM,ICICI Bank Ltd. - New Bus station, APSRTC,Kadapa,Andhra Pradesh,516001,41,42,62,A4573,,,,,,,,,,,,,,,,,
